sample-id,absolute-filepath,direction
DR1025-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1025-E_2_val_2.fq.gz,reverse
DR1025-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1025-SAH_1_val_1.fq.gz,forward
DR1025-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1025-SAH_2_val_2.fq.gz,reverse
DR1027-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1027-E_1_val_1.fq.gz,forward
DR1027-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1027-E_2_val_2.fq.gz,reverse
DR1027-H,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1027-H_1_val_1.fq.gz,forward
DR1027-H,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1027-H_2_val_2.fq.gz,reverse
DR1027-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1027-SAH_1_val_1.fq.gz,forward
DR1027-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1027-SAH_2_val_2.fq.gz,reverse
DR1028-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1028-SAH_1_val_1.fq.gz,forward
DR1028-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1028-SAH_2_val_2.fq.gz,reverse
DR1029-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1029-SAH_1_val_1.fq.gz,forward
DR1029-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1029-SAH_2_val_2.fq.gz,reverse
DR1030-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1030-E_1_val_1.fq.gz,forward
DR1030-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1030-E_2_val_2.fq.gz,reverse
DR1030-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1030-SAH_1_val_1.fq.gz,forward
DR1030-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1030-SAH_2_val_2.fq.gz,reverse
DR1034-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1034-SAH_1_val_1.fq.gz,forward
DR1034-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1034-SAH_2_val_2.fq.gz,reverse
DR1035-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1035-E_1_val_1.fq.gz,forward
DR1035-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1035-E_2_val_2.fq.gz,reverse
DR1035-H,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1035-H_1_val_1.fq.gz,forward
DR1035-H,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1035-H_2_val_2.fq.gz,reverse
DR1035-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1035-SAH_1_val_1.fq.gz,forward
DR1035-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1035-SAH_2_val_2.fq.gz,reverse
DR1036-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1036-SAH_1_val_1.fq.gz,forward
DR1036-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1036-SAH_2_val_2.fq.gz,reverse
DR1038-A-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1038-A-SAH_1_val_1.fq.gz,forward
DR1038-A-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1038-A-SAH_2_val_2.fq.gz,reverse
DR1038-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1038-SAH_1_val_1.fq.gz,forward
DR1038-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1038-SAH_2_val_2.fq.gz,reverse
DR1039-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1039-SAH_1_val_1.fq.gz,forward
DR1039-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1039-SAH_2_val_2.fq.gz,reverse
DR1040-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1040-SAH_1_val_1.fq.gz,forward
DR1040-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1040-SAH_2_val_2.fq.gz,reverse
DR1041-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1041-E_1_val_1.fq.gz,forward
DR1041-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1041-E_2_val_2.fq.gz,reverse
DR1041-H,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1041-H_1_val_1.fq.gz,forward
DR1041-H,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1041-H_2_val_2.fq.gz,reverse
DR1041-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1041-SAH_1_val_1.fq.gz,forward
DR1041-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1041-SAH_2_val_2.fq.gz,reverse
DR1042-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1042-E_1_val_1.fq.gz,forward
DR1042-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1042-E_2_val_2.fq.gz,reverse
DR1042-H,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1042-H_1_val_1.fq.gz,forward
DR1042-H,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1042-H_2_val_2.fq.gz,reverse
DR1042-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1042-SAH_1_val_1.fq.gz,forward
DR1042-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1042-SAH_2_val_2.fq.gz,reverse
DR1043-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1043-E_1_val_1.fq.gz,forward
DR1043-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1043-E_2_val_2.fq.gz,reverse
DR1043-H,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1043-H_1_val_1.fq.gz,forward
DR1043-H,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1043-H_2_val_2.fq.gz,reverse
DR1043-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1043-SAH_1_val_1.fq.gz,forward
DR1043-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1043-SAH_2_val_2.fq.gz,reverse
DR1044-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1044-E_1_val_1.fq.gz,forward
DR1044-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1044-E_2_val_2.fq.gz,reverse
DR1044-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1044-SAH_1_val_1.fq.gz,forward
DR1044-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1044-SAH_2_val_2.fq.gz,reverse
DR1045-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1045-E_1_val_1.fq.gz,forward
DR1045-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1045-E_2_val_2.fq.gz,reverse
DR1045-H,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1045-H_1_val_1.fq.gz,forward
DR1045-H,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1045-H_2_val_2.fq.gz,reverse
DR1045-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1045-SAH_1_val_1.fq.gz,forward
DR1045-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1045-SAH_2_val_2.fq.gz,reverse
DR1046-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1046-E_1_val_1.fq.gz,forward
DR1046-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1046-E_2_val_2.fq.gz,reverse
DR1046-H,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1046-H_1_val_1.fq.gz,forward
DR1046-H,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1046-H_2_val_2.fq.gz,reverse
DR1046-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1046-SAH_1_val_1.fq.gz,forward
DR1046-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1046-SAH_2_val_2.fq.gz,reverse
DR1047-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1047-E_1_val_1.fq.gz,forward
DR1047-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1047-E_2_val_2.fq.gz,reverse
DR1047-H,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1047-H_1_val_1.fq.gz,forward
DR1047-H,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1047-H_2_val_2.fq.gz,reverse
DR1047-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1047-SAH_1_val_1.fq.gz,forward
DR1047-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1047-SAH_2_val_2.fq.gz,reverse
DR1048-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1048-E_1_val_1.fq.gz,forward
DR1048-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1048-E_2_val_2.fq.gz,reverse
DR1048-H,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1048-H_1_val_1.fq.gz,forward
DR1048-H,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1048-H_2_val_2.fq.gz,reverse
DR1048-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1048-SAH_1_val_1.fq.gz,forward
DR1048-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1048-SAH_2_val_2.fq.gz,reverse
DR1049-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1049-E_1_val_1.fq.gz,forward
DR1049-E,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1049-E_2_val_2.fq.gz,reverse
DR1049-H,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1049-H_1_val_1.fq.gz,forward
DR1049-H,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1049-H_2_val_2.fq.gz,reverse
DR1049-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1049-SAH_1_val_1.fq.gz,forward
DR1049-SAH,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/DR1049-SAH_2_val_2.fq.gz,reverse
E-1,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/E-1_1_val_1.fq.gz,forward
E-1,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/E-1_2_val_2.fq.gz,reverse
E-10,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/E-10_1_val_1.fq.gz,forward
E-10,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/E-10_2_val_2.fq.gz,reverse
E-2,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/E-2_1_val_1.fq.gz,forward
E-2,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/E-2_2_val_2.fq.gz,reverse
E-3,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/E-3_1_val_1.fq.gz,forward
E-3,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/E-3_2_val_2.fq.gz,reverse
E-4,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/E-4_1_val_1.fq.gz,forward
E-4,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/E-4_2_val_2.fq.gz,reverse
E-5,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/E-5_1_val_1.fq.gz,forward
E-5,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/E-5_2_val_2.fq.gz,reverse
E-6,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/E-6_1_val_1.fq.gz,forward
E-6,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/E-6_2_val_2.fq.gz,reverse
E-7,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/E-7_1_val_1.fq.gz,forward
E-7,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/E-7_2_val_2.fq.gz,reverse
E-8,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/E-8_1_val_1.fq.gz,forward
E-8,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/E-8_2_val_2.fq.gz,reverse
E-9,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/E-9_1_val_1.fq.gz,forward
E-9,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/E-9_2_val_2.fq.gz,reverse
H-1,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/H-1_1_val_1.fq.gz,forward
H-1,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/H-1_2_val_2.fq.gz,reverse
H-10,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/H-10_1_val_1.fq.gz,forward
H-10,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/H-10_2_val_2.fq.gz,reverse
H-2,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/H-2_1_val_1.fq.gz,forward
H-2,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/H-2_2_val_2.fq.gz,reverse
H-3,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/H-3_1_val_1.fq.gz,forward
H-3,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/H-3_2_val_2.fq.gz,reverse
H-4,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/H-4_1_val_1.fq.gz,forward
H-4,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/H-4_2_val_2.fq.gz,reverse
H-5,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/H-5_1_val_1.fq.gz,forward
H-5,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/H-5_2_val_2.fq.gz,reverse
H-6,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/H-6_1_val_1.fq.gz,forward
H-6,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/H-6_2_val_2.fq.gz,reverse
H-7,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/H-7_1_val_1.fq.gz,forward
H-7,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/H-7_2_val_2.fq.gz,reverse
H-8,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/H-8_1_val_1.fq.gz,forward
H-8,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/H-8_2_val_2.fq.gz,reverse
H-9,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/H-9_1_val_1.fq.gz,forward
H-9,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/H-9_2_val_2.fq.gz,reverse
SAH-1,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/SAH-1_1_val_1.fq.gz,forward
SAH-1,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/SAH-1_2_val_2.fq.gz,reverse
SAH-10,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/SAH-10_1_val_1.fq.gz,forward
SAH-10,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/SAH-10_2_val_2.fq.gz,reverse
SAH-2,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/SAH-2_1_val_1.fq.gz,forward
SAH-2,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/SAH-2_2_val_2.fq.gz,reverse
SAH-3,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/SAH-3_1_val_1.fq.gz,forward
SAH-3,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/SAH-3_2_val_2.fq.gz,reverse
SAH-4,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/SAH-4_1_val_1.fq.gz,forward
SAH-4,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/SAH-4_2_val_2.fq.gz,reverse
SAH-5,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/SAH-5_1_val_1.fq.gz,forward
SAH-5,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/SAH-5_2_val_2.fq.gz,reverse
SAH-6,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/SAH-6_1_val_1.fq.gz,forward
SAH-6,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/SAH-6_2_val_2.fq.gz,reverse
SAH-7,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/SAH-7_1_val_1.fq.gz,forward
SAH-7,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/SAH-7_2_val_2.fq.gz,reverse
SAH-8,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/SAH-8_1_val_1.fq.gz,forward
SAH-8,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/SAH-8_2_val_2.fq.gz,reverse
SAH-9,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/SAH-9_1_val_1.fq.gz,forward
SAH-9,/axolote/diana/diana/macrogen_all/pisolithus/data/trim/SAH-9_2_val_2.fq.gz,reverse
