Kingdom	Phylum	Class	Order	Family	Genus	Species	OTU	DR1014-E	DR1014-SAH	DR1018-E	DR1018-SAH	DR1019-E	DR1019-SAH	DR1025-E	DR1025-SAH	DR1027-E	DR1027-H	DR1027-SAH	DR1030-E	DR1030-SAH	DR1035-E	DR1035-H	DR1035-SAH	DR1041-E	DR1041-H	DR1041-SAH	DR1042-E	DR1042-H	DR1042-SAH	DR1043-E	DR1043-H	DR1043-SAH	DR1044-E	DR1044-SAH	DR1045-E	DR1045-H	DR1045-SAH	DR1046-E	DR1046-H	DR1046-SAH	DR1047-E	DR1047-H	DR1047-SAH	DR1048-E	DR1048-H	DR1048-SAH	DR1049-E	DR1049-H	DR1049-SAH	E-1	E-10	E-2	E-3	E-4	E-5	E-6	E-7	E-8	E-9	H-1	H-10	H-2	H-3	H-4	H-5	H-6	H-7	H-8	H-9	SAH-1	SAH-10	SAH-2	SAH-3	SAH-4	SAH-5	SAH-6	SAH-7	SAH-8	SAH-9	Shared
ASV_3038	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_3038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0153775180685837	0	0	0	0	0	0	0	0.00930405656866394	0.00777317864707826	0	0.0246507806080526	0.019385651093527	0.113761598350457	0.0355453476608427	0	0	0	0.00909311348205626	0.0218397833493492	0.0355460766017951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_3856	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_3856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0112943302462164	0.0109839414775598	0	0.00448665220967621	0	0	0.0138243751382438	0	0	0	0	0.063508444638498	0.0273897562311695	0	0.0426605993814213	0.0300768326360977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_5368	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_5368	0	0.0122028603504661	0	0	0	0	0	0	0	0	0.00806625080662508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_4723	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_4723	0	0	0	0	0	0	0	0	0	0	0	0	0.00663988579396434	0	0.010298307644777	0.00827791727601336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_1945	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_1945	0	0	0	0	0	0.0925497454881999	0	0	0	0.0534087338988376	0.0457087545708755	0	0	0.0222114530328729	0.0154474614671656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0294467845391578	0	0	0.0196786476833312	0	0.00853779575458106	0.00313466521775474	0	0.00390792918832311	0	0.0107045543012845	0	0.00482164726757249	0.0135562584726615	0	0	0	0.00214520921152835	0	0	0.0392390011890606	0	0.00781913229971851	0.0187923731876202	0.00577453890306859	0.0108786307430105	0	0.0125450838952485	0.00910802113060902	0	Non-core
ASV_2459	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_2459	0	0	0	0	0	0	0	0.0174022753475017	0	0.00628338045868677	0.0161325016132502	0	0.0298794860728395	0.0242306760358614	0.0120146922522399	0.0358709748627245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00903750564844103	0	0.0158852352847734	0	0	0	0	0.00832342449464923	0.0272638753651412	0	0	0.00692944668368231	0.0543931537150524	0.00412558273856182	0.023522032303591	0.0136620316959135	0	Non-core
ASV_4208	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_4208	0	0	0	0.01048190561044	0	0.0144608977325312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00930405656866394	0	0	0	0	0.0142201997938071	0.00546851502474503	0	0	0	0	0.0109198916746746	0.0266595574513463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_4248	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_4248	0	0	0	0	0	0	0	0.00870113767375084	0	0	0.0161325016132502	0	0.0464792005577504	0	0	0.0275930575867112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_779	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_779	0	0.0561331576121443	0	0.0314457168313199	0	0.107010643220731	0.0883307868601986	0.0630832481346936	0	0.0392711278667923	0.0941062594106259	0	0.0697188008366256	0.0161537840239076	0.0497751536164224	0.0800198670014624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0109370300494901	0	0	0	0	0	0	0.0550526841384255	0	0.0113795850244661	0	0.0189798066360306	0.0064033468159358	0	0	0.0364740057576823	0.00782887812176515	0.0398987933047879	0	0.0202509185238045	0.0384093990058744	0.00679032604882244	0	0.0130729207519544	0.0343233473844537	0.0470915369780688	0.0176482699793123	0.0261593341260404	0.00649139889646219	0.0323935480988338	0.0332480448704049	0.00461963112245487	0.00725242049534032	0.00275038849237455	0.0188176258428728	0.0318780739571316	0.0104445914423981	Rhizhomorph_Soil associated
ASV_3277	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_3277	0	0.0170840044906526	0	0	0	0.00578435909301249	0	0.0261034130212525	0	0.0471253534401508	0.0779737577973758	0	0.0331994289698217	0.0100961150149422	0.010298307644777	0.00827791727601336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_4440	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_4440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00340367597004765	0.00645390299783794	0.0263614595461435	0	0	0	0	0	0	0	0.00930405656866394	0.00388658932353913	0	0.0410846343467543	0.0176233191759336	0.047993174304099	0.0300768326360977	0	0	0	0	0.00436795666986984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_5668	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	Planctomycetales_bacterium	ASV_5668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0280720417239189	0.0154125951727752	0	0.00645390299783794	0.0153775180685837	0.00781311039924994	0.00747775368279369	0.0121146041553092	0	0.00829462508294625	0	0	0	0	0	0.0136948781155848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_2588	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_2588	0	0.0122028603504661	0	0.00786142920782998	0.0236315836114968	0.0289217954650625	0	0.0174022753475017	0	0.00471253534401508	0.0349537534953753	0	0	0.0100961150149422	0.0188802306820912	0.0193151403106978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0109370300494901	0	0	0	0	0.00655193500480475	0	0	0	0	0	0	0	0	0	0.00260528612554874	0	0	0	0	0.00903750564844103	0	0	0.00392187622558632	0	0.0134547248508768	0	0.00237812128418549	0	0	0.0332480448704049	0.00577453890306859	0.00725242049534032	0.0275038849237455	0.0141132193821546	0.0425040986095088	0	Soil associated
ASV_2479	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_2479	0	0	0	0	0.0206776356600597	0	0.0525210084033613	0.0108764220921886	0	0.0486961985548225	0.0268875026887503	0	0.0132797715879287	0.018173007026896	0.0240293845044798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00690174786764748	0	0.0020897768118365	0	0.0286581473810361	0	0.00778513040093421	0	0	0	0.00565860504068537	0.0073316470545108	0.00392187622558632	0	0.0123334977799704	0	0	0.0181759169100941	0	0	0.0138588933673646	0	0.00412558273856182	0	0.0333960774788997	0	Non-core
ASV_4483	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_4483	0	0.0463708693317714	0	0.01310238201305	0	0.00578435909301249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_2809	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_2809	0	0.0170840044906526	0.00837170364169108	0.01048190561044	0	0.0173530772790375	0	0.0174022753475017	0	0	0	0	0.0165997144849109	0	0.0240293845044798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00521057225109748	0	0	0	0	0	0	0.00855358823026259	0	0	0.0156971789926896	0	0.0107015457788347	0.0103862382343395	0	0.0057822686731139	0.00577453890306859	0.00966989399378709	0.0055007769847491	0.0282264387643092	0.0318780739571316	0	Soil associated
ASV_519	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_519	0	0.129350319714941	0.00837170364169108	0.01834333481827	0	0.0665201295696437	0	0.0696091013900067	0.0752782607137096	0.056550424128181	0.0914175091417509	0	0.0630789150426613	0.058557467086665	0.0394768459716453	0.0745012554841202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00303103782735209	0	0	0	0	0	0	0.0166792240134814	0.00747057128525843	0	0	0.00781585837664621	0	0.00583884780070066	0	0	0	0.00905376806509659	0.0293265882180432	0	0	0.0235457684890344	0	0.0107015457788347	0.0727036676403765	0	0	0.0947024380103249	0.242956086593901	0.0178775252004346	0.177199310020386	0.109296253567308	0.00348153048079936	Soil associated
ASV_6159	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_6159	0	0.0170840044906526	0	0	0	0.00867653863951874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_4168	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_4168	0	0.0195245765607458	0	0	0	0.00867653863951874	0	0.0195775597659394	0	0.00471253534401508	0	0	0.0165997144849109	0	0.00343276921492568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_5524	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_5524	0	0.0170840044906526	0	0.00786142920782998	0	0.00578435909301249	0	0.0130517065106263	0	0.00628338045868677	0.0161325016132502	0	0	0	0	0.0193151403106978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_4874	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_4874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00659036488653588	0	0	0	0	0	0	0	0.0186081131373279	0	0	0	0.0299596425990871	0.0391055494329695	0.0246083176113526	0	0	0	0.00454655674102813	0.0196558050144143	0.0177730383008975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_5488	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_5488	0	0	0	0	0	0	0	0	0	0	0	0.00502192909036124	0.00663988579396434	0	0	0.0110372230346845	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0217094653268825	0	0	0	0	0.0657684240463579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_2220	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_2220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0487567040468064	0.0400727474492155	0	0.00645390299783794	0.0329518244326794	0.0125009766387999	0.034397666940851	0.0757162759706827	0	0.0193541251935413	0	0.00673480039735322	0.0372162262746558	0	0.0377081390041082	0.0273897562311695	0	0	0.00820277253711755	0	0	0.0187691601843549	0	0.0109198916746746	0.00888651915044877	0	0	0	0	0	0	0	0	0.024750218192713	0	0	0	0	0	0	0	0.00784375245117264	0	0.0661523971834776	0	0	0	0	0	0	0	0	0	0.0850081972190175	0	Non-core
ASV_4765	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_4765	0	0.0244057207009323	0	0	0	0	0	0	0	0	0	0	0.00663988579396434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_4824	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_planctomycete	ASV_4824	0	0	0	0.01310238201305	0	0	0	0	0	0.00942507068803016	0.0241987524198752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_5245	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_planctomycete	ASV_5245	0	0.0170840044906526	0	0	0	0.0289217954650625	0	0.0174022753475017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_5523	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_5523	0	0.0195245765607458	0	0.01572285841566	0	0.00867653863951874	0	0.00435056883687542	0	0.0109959158027019	0.0376425037642504	0	0.00663988579396434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_5740	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_5740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0217094653268825	0	0	0	0	0	0.0246083176113526	0	0	0	0.0106086323957323	0.0545994583733729	0.0385082496519447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_2821	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_2821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00645390299783794	0.0505261307967751	0	0	0	0	0.0138243751382438	0	0	0.00930405656866394	0.00971647330884782	0	0.0328677074774034	0	0.0959863486081979	0.0464823777103328	0	0	0	0	0.0283917183541539	0.0236973844011967	0.00640147489981692	0	0	0	0	0	0	0	0.0338687196321336	0	0.00291942390035033	0	0	0	0	0	0	0	0.0044849082836256	0	0.0178359096313912	0.00649139889646219	0.00558509449979894	0.0216835075241771	0	0.00241747349844677	0	0.0156813548690607	0.0166980387394499	0	Soil associated
ASV_4354	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_4354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00645390299783794	0.0395421893192153	0.00781311039924994	0	0.00908595311648192	0	0	0	0	0	0	0.0476313334788735	0.0219118049849356	0.0264349787639004	0	0.0164055450742351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_5289	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		ASV_5289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0225886604924328	0.00659036488653588	0	0	0	0	0	0	0.0134696007947064	0	0	0.00396927778990613	0.0191728293618187	0.0088116595879668	0	0.0136712875618626	0	0	0	0.00757759456838021	0.0152878483445444	0.0325839035516455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_5638	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	AKYG587		ASV_5638	0	0.00732171621027969	0	0.01572285841566	0.0561250110773048	0.0144608977325312	0	0.00870113767375084	0	0	0.00537750053775005	0	0.00995982869094652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_5818	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	AKYG587		ASV_5818	0	0.0122028603504661	0	0	0	0	0	0.00870113767375084	0.00358467908160522	0	0	0	0.0265595431758574	0	0	0.00551861151734224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
