Kingdom	Phylum	Class	Order	Family	Genus	Species	OTU	DR1041-E	DR1041-H	DR1041-SAH	DR1042-E	DR1042-H	DR1042-SAH	DR1043-E	DR1043-H	DR1043-SAH	DR1044-E	DR1044-SAH	DR1045-E	DR1045-H	DR1045-SAH	DR1046-E	DR1046-H	DR1046-SAH	DR1047-E	DR1047-H	DR1047-SAH	DR1048-E	DR1048-H	DR1048-SAH	DR1049-E	DR1049-H	DR1049-SAH	Shared
ASV_2512	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	uncultured_Pasteuria	ASV_2512	0	0	0	0	0.0209751847429733	0.00439357659102392	0	0	0	0	0	0	0	0	0.0252628306030043	0.0337388612142021	0.0410846343467543	0.0123363234231535	0.0533257492267766	0.0218740600989801	0	0	0	0.0378879728419011	0.0589674150432428	0.0444325957522438	Rhizhomorph
ASV_4143	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	uncultured_soil	ASV_4143	0	0	0	0	0	0	0	0	0	0	0	0.00354377447419246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_3645	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula		ASV_3645	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00620270437910929	0	0	0	0	0	0	0	0	0	0	0.0240237616842841	0	Non-core
ASV_5052	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula		ASV_5052	0	0	0	0	0	0	0	0	0	0	0	0	0.00336740019867661	0	0	0.0158771111596245	0	0	0.0195527747164848	0	0	0	0	0.0121241513094083	0.0458635450336333	0	Rhizhomorph
ASV_6202	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae			ASV_6202	0	0	0.0308251903455504	0	0.0338829907386492	0.0109839414775598	0.00468786623954997	0	0.00605730207765461	0	0.00829462508294625	0	0	0	0.00388658932353913	0	0.0136948781155848	0	0	0	0	0	0	0	0	0	Soil associated
ASV_1894	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae			ASV_1894	0	0	0	0.0153165418652144	0.119397205460002	0.0197710946596077	0.0375029299163997	0	0.0302865103882731	0.0111684424490161	0.0193541251935413	0	0	0	0.0174896519559261	0	0.0164338537387017	0	0	0.0164055450742351	0	0.00335182423033736	0	0.0636517943743938	0.0567834367083079	0	Soil associated_Stipe
ASV_4095	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae			ASV_4095	0	0	0	0	0.00645390299783794	0	0	0	0	0	0	0	0	0	0.0136030626323869	0	0	0	0	0	0	0	0	0.0621362754607178	0.0939110684022015	0.00888651915044877	Non-core
ASV_5671	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae			ASV_5671	0	0	0	0.00510551395507148	0.0516312239827035	0.00878715318204785	0	0	0	0.00670106546940964	0	0	0.0185207010927214	0	0	0	0	0	0	0	0	0	0	0.00303103782735209	0	0.00592434610029918	Non-core
ASV_2615	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae			ASV_2615	0	0	0	0.0153165418652144	0.0516312239827035	0.0395421893192153	0	0	0	0	0	0	0	0	0	0	0.0246507806080526	0.0140986553407469	0.0142201997938071	0.0246083176113526	0	0	0	0.0136396702230844	0.0960950467371364	0.050356941852543	Non-core
ASV_5802	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae			ASV_5802	0	0	0	0	0.00645390299783794	0.00439357659102392	0	0	0	0	0	0	0	0	0	0	0	0.0229103149287137	0	0	0	0	0	0.0136396702230844	0.0611513933781777	0.0118486922005984	Non-core
ASV_3861	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae			ASV_3861	0	0	0	0.00510551395507148	0.0451773209848656	0	0	0	0	0	0	0	0.00336740019867661	0.00620270437910929	0.0136030626323869	0	0.00547795124623391	0.0176233191759336	0.00711009989690355	0.0136712875618626	0	0	0	0.034856935014549	0.0371276316938936	0	Rhizhomorph
ASV_3556	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae			ASV_3556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00757759456838021	0.0196558050144143	0	Non-core
ASV_2059	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae			ASV_2059	0	0.0162522346822688	0.0246601522764403	0	0.0968085449675691	0	0.0937573247909993	0.0209377103118223	0.039372463504755	0.00446737697960642	0.0359433753594338	0	0	0	0	0.00396927778990613	0	0	0	0	0	0.0284905059578676	0.0125127734562366	0	0	0	Rhizhomorph
ASV_4011	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae			ASV_4011	0	0.0103423311614438	0.0308251903455504	0.0119128658951668	0.0709929329762174	0.0197710946596077	0	0	0.0242292083106184	0	0	0	0	0	0	0	0	0	0	0.0246083176113526	0	0	0	0	0	0	Non-core
ASV_4899	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae			ASV_4899	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00930405656866394	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_2505	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae		uncultured_Planctomycetaceae	ASV_2505	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0310135218955465	0	0	0	0	0	0	0	0	0	0.0212172647914646	0.0218397833493492	0	Non-core
ASV_2640	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae		uncultured_Planctomycetaceae	ASV_2640	0	0	0.0154125951727752	0	0.0403368937364871	0.0153775180685837	0	0	0	0	0.0193541251935413	0	0	0	0	0	0.00547795124623391	0.00704932767037344	0	0	0	0	0	0.0287948593598448	0.0414955883637634	0.0177730383008975	Soil associated
ASV_2748	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae		uncultured_Planctomycetaceae	ASV_2748	0	0	0.0184951142073302	0	0.0129078059956759	0	0	0	0	0	0	0	0.00673480039735322	0.0155067609477732	0	0	0.0191728293618187	0	0	0	0	0	0	0.0318258971871969	0.0633353717131126	0.0236973844011967	Non-core
ASV_3785	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae			ASV_3785	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00930405656866394	0	0	0.00547795124623391	0.0387713021870539	0.0302179245618401	0.0328110901484702	0	0	0	0.0469810863239573	0.0196558050144143	0.0355460766017951	Non-core
ASV_1226	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales			uncultured_Planctomyces	ASV_1226	0.0211868487451607	0.20536914734867	0.157208470762307	0	0.0484042724837846	0.0307550361371675	0.0421907961559497	0.00897330441935243	0.0121146041553092	0	0.0248838752488388	0	0	0.00620270437910929	0	0.0119078333697184	0	0.0123363234231535	0	0	0.0067216723520812	0.0150832090365181	0.0375383203687097	0.00909311348205626	0.0109198916746746	0	Core
ASV_1830	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales			uncultured_Planctomyces	ASV_1830	0	0.0177297105624751	0.00616503806911008	0	0.0322695149891897	0	0.0156262207984999	0.0209377103118223	0.0363438124659277	0	0.0304136253041363	0	0.00673480039735322	0.0124054087582186	0.0252628306030043	0.0396927778990613	0.0273897562311695	0.0211479830111203	0.031995449536066	0.00820277253711755	0.0151237627921827	0.0586569240309038	0.0145982356989427	0.00909311348205626	0.0152878483445444	0	Core
ASV_6002	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales			uncultured_Planctomyces	ASV_6002	0	0	0	0	0.0129078059956759	0.00878715318204785	0	0.0254243625214985	0	0	0.02211900022119	0	0	0	0	0	0	0	0	0	0	0	0	0.0151551891367604	0.0196558050144143	0	Non-core
ASV_5506	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales			uncultured_Planctomyces	ASV_5506	0	0	0	0	0.0258156119913518	0.0109839414775598	0	0	0	0	0	0	0	0	0.0136030626323869	0.00595391668485919	0.00547795124623391	0	0.0373280244587436	0.0109370300494901	0	0	0	0	0.00655193500480475	0.0118486922005984	Rhizhomorph
ASV_6209	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales			uncultured_Planctomyces	ASV_6209	0	0	0	0	0	0.0153775180685837	0	0	0	0	0	0	0	0	0	0.0178617500545776	0	0.00528699575278008	0	0	0	0	0	0.0166707080504365	0.0502315017035031	0	Non-core
ASV_6335	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales			uncultured_Planctomyces	ASV_6335	0	0	0	0.00340367597004765	0.0209751847429733	0.0175743063640957	0	0	0	0	0	0	0	0	0.0136030626323869	0.00396927778990613	0.0164338537387017	0	0	0	0	0	0	0.00303103782735209	0.0218397833493492	0	Non-core
ASV_2052	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales			uncultured_Planctomyces	ASV_2052	0.0154086172692078	0.0871710769321691	0.080145494898431	0	0.0112943302462164	0.00439357659102392	0.00312524415969998	0.00448665220967621	0	0	0	0	0	0.0155067609477732	0.00388658932353913	0.0158771111596245	0.0164338537387017	0	0	0	0	0.041897802879217	0	0.0287948593598448	0.0764392417227221	0.0207352113510471	Rhizhomorph_Soil associated
ASV_763	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales			uncultured_Planctomyces	ASV_763	0.0134825401105568	0.124107973937325	0.138713356554977	0.0068073519400953	0.0742198844751363	0.0329518244326794	0.0390655519962497	0.0269199132580573	0.00908595311648192	0	0	0	0	0.0341148740851011	0.0194329466176956	0.0377081390041082	0.0356066831005204	0.0105739915055602	0.0213302996907107	0.0273425751237252	0	0.0150832090365181	0.00625638672811829	0.0954776915615907	0.192190093474273	0.0562812879528422	Core
ASV_5672	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales			uncultured_Planctomyces	ASV_5672	0.00385215431730195	0.0132972829218563	0	0.0068073519400953	0.0419503694859466	0.0175743063640957	0	0	0	0	0.00829462508294625	0	0	0	0	0.00992319447476532	0	0	0	0.0109370300494901	0	0	0	0	0	0	Non-core
ASV_3514	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales			uncultured_Planctomyces	ASV_3514	0.0077043086346039	0.0177297105624751	0.0708979377947659	0	0.00484042724837846	0.0175743063640957	0.00781311039924994	0.0358932176774097	0.0181719062329638	0	0	0	0.00841850049669153	0	0.00582988398530869	0	0	0	0	0	0.0151237627921827	0	0.0229400846697671	0.00757759456838021	0	0	Rhizhomorph_Stipe
ASV_5027	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Schlesneriaceae	Schlesneria		ASV_5027	0	0.01181980704165	0.0215776332418853	0	0.00968085449675691	0.0241646712506316	0	0	0	0	0	0	0	0	0.00388658932353913	0.00595391668485919	0.0136948781155848	0	0.00533257492267766	0	0	0	0	0.0121241513094083	0.0393116100288285	0	Rhizhomorph
ASV_1044	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata		ASV_1044	0	0	0	0	0	0	0	0	0	0	0	0	0.00841850049669153	0	0	0.0138924722646714	0.0136948781155848	0	0	0.00820277253711755	0	0	0.0291964713978853	0	0	0	Non-core
ASV_1538	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	Gemmata_sp.	ASV_1538	0	0	0	0.00340367597004765	0.0290425634902707	0.00878715318204785	0	0	0.0181719062329638	0	0	0	0	0.0124054087582186	0	0	0.0164338537387017	0	0	0.00820277253711755	0	0	0	0.0151551891367604	0.0196558050144143	0	Soil associated
ASV_4461	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata		ASV_4461	0	0	0	0	0	0.00439357659102392	0	0	0	0	0	0.00354377447419246	0	0	0	0.0258003056343898	0	0.00704932767037344	0	0	0	0	0	0.00757759456838021	0.00873591333973967	0.0148108652507479	Non-core
ASV_3188	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	Gemmata_sp.	ASV_3188	0	0	0.00616503806911008	0	0.00484042724837846	0.00659036488653588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00909311348205626	0	0	Non-core
ASV_3208	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	Gemmata_sp.	ASV_3208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00436795666986984	0	Non-core
ASV_5605	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	Gemmata_sp.	ASV_5605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00582988398530869	0	0	0	0.0870987237370685	0	0.0084020904401015	0	0	0	0.00436795666986984	0	Non-core
ASV_2444	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata		ASV_2444	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00930405656866394	0	0	0	0	0	0	0	0	0	0	0	0	Non-core
ASV_1785	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata		ASV_1785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0302179245618401	0.00546851502474503	0	0	0	0.0227327837051406	0.026207740019219	0	Non-core
ASV_4633	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata		ASV_4633	0	0	0.0184951142073302	0	0	0	0	0	0	0	0	0	0.0151533008940448	0	0	0	0	0.0158609872583402	0.0515482242525507	0.0164055450742351	0	0	0	0.0106086323957323	0.0174718266794793	0	Non-core
ASV_4009	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Fimbriiglobus		ASV_4009	0	0.0132972829218563	0.0215776332418853	0	0.0322695149891897	0.0219678829551196	0	0.00448665220967621	0	0	0.0055297500552975	0	0	0	0	0	0	0	0.0142201997938071	0.0246083176113526	0	0	0.00625638672811829	0.0181862269641125	0.026207740019219	0.00888651915044877	Rhizhomorph_Soil associated
ASV_4299	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae			ASV_4299	0	0	0	0	0	0	0	0	0	0	0	0	0.0202044011920597	0.0186081131373279	0	0.00793855557981225	0.0136948781155848	0.0317219745166805	0	0	0	0	0	0.0303103782735209	0.0436795666986984	0.0207352113510471	Non-core
ASV_4893	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae			ASV_4893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0560741998060136	0.0567834367083079	0.0414704227020943	Non-core
ASV_4732	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae			ASV_4732	0	0	0	0	0.0225886604924328	0.00659036488653588	0	0	0	0	0	0	0	0.00620270437910929	0	0.00793855557981225	0	0	0	0.0109370300494901	0	0	0	0.0303103782735209	0.0458635450336333	0.00592434610029918	Non-core
ASV_6333	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae			ASV_6333	0	0.0147747588020626	0.0123300761382202	0	0.0225886604924328	0.0197710946596077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0196558050144143	0	Non-core
ASV_5222	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae			ASV_5222	0	0.0354594211249501	0.0184951142073302	0	0.00484042724837846	0	0.00468786623954997	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0084020904401015	0.0268145938426989	0.0250255469124731	0	0	0	Non-core
